,id,datetime,expt_num,sitename,type,sensor_idx,value
130,345,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,4,690.833
131,346,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,5,595.0
132,347,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,6,1603.75
133,348,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,7,911.25
134,349,2023-01-29 13:00:00,0,DLSU-BLAST,light_intensity,8,960.417
135,365,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,0,667.917
136,366,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,1,520.833
137,367,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,2,83.3333
138,368,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,3,738.333
139,369,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,4,687.083
140,370,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,5,572.083
141,371,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,6,1602.08
142,372,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,7,892.917
143,373,2023-01-29 13:30:00,0,DLSU-BLAST,light_intensity,8,955.833
144,389,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,0,646.25
145,390,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,1,499.167
146,391,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,2,79.5833
147,392,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,3,732.5
148,393,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,4,675.833
149,394,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,5,551.25
150,395,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,6,1588.33
151,396,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,7,890.833
152,397,2023-01-29 14:00:00,0,DLSU-BLAST,light_intensity,8,950.0
153,413,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,0,646.25
154,414,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,1,491.25
155,415,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,2,79.1667
156,416,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,3,735.0
157,417,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,4,676.667
158,418,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,5,558.333
159,419,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,6,1593.33
160,420,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,7,892.5
161,421,2023-01-29 14:30:00,0,DLSU-BLAST,light_intensity,8,951.25
162,437,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,0,654.167
163,438,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,1,495.833
164,439,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,2,82.5
165,440,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,3,741.25
166,441,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,4,680.833
167,442,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,5,555.833
168,443,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,6,1600.0
169,444,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,7,894.167
170,445,2023-01-29 15:00:00,0,DLSU-BLAST,light_intensity,8,955.0
171,461,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,0,805.0
172,462,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,1,617.083
173,463,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,2,92.9167
174,464,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,3,948.333
175,465,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,4,871.667
176,466,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,5,703.333
177,467,2023-01-29 15:26:00,0,DLSU-BLAST,light_intensity,6,2027.5
