,datetime,expt_num,type,index,value
314,2023-03-20,0,dli,8,0.0
315,2023-03-21,0,dli,0,3.53686
316,2023-03-21,0,dli,1,2.97256
317,2023-03-21,0,dli,2,3.55536
318,2023-03-21,0,dli,3,0.0
319,2023-03-21,0,dli,4,0.0
320,2023-03-21,0,dli,5,0.0
321,2023-03-21,0,dli,6,0.0
322,2023-03-21,0,dli,7,0.0
323,2023-03-21,0,dli,8,0.0
324,2023-03-22,0,dli,0,2.98445
325,2023-03-22,0,dli,1,2.9835
326,2023-03-22,0,dli,2,3.40821
327,2023-03-22,0,dli,3,0.0
328,2023-03-22,0,dli,4,0.0
329,2023-03-22,0,dli,5,0.0
330,2023-03-22,0,dli,6,0.0
331,2023-03-22,0,dli,7,0.0
332,2023-03-22,0,dli,8,0.0
333,2023-03-23,0,dli,0,2.69757
334,2023-03-23,0,dli,1,2.91357
335,2023-03-23,0,dli,2,3.25485
336,2023-03-23,0,dli,3,0.0
337,2023-03-23,0,dli,4,0.0
338,2023-03-23,0,dli,5,0.0
339,2023-03-23,0,dli,6,0.0
340,2023-03-23,0,dli,7,0.0
341,2023-03-23,0,dli,8,0.0
342,2023-03-24,0,dli,0,2.45565
343,2023-03-24,0,dli,1,3.02116
344,2023-03-24,0,dli,2,3.16616
345,2023-03-24,0,dli,3,0.0
346,2023-03-24,0,dli,4,0.0
347,2023-03-24,0,dli,5,0.0
348,2023-03-24,0,dli,6,0.0
349,2023-03-24,0,dli,7,0.0
350,2023-03-24,0,dli,8,0.0
351,2023-03-25,0,dli,0,2.35737
352,2023-03-25,0,dli,1,3.12714
353,2023-03-25,0,dli,2,3.07976
354,2023-03-25,0,dli,3,0.0
355,2023-03-25,0,dli,4,0.0
356,2023-03-25,0,dli,5,0.0
357,2023-03-25,0,dli,6,0.0
358,2023-03-25,0,dli,7,0.0
359,2023-03-25,0,dli,8,0.0
360,2023-03-26,0,dli,0,2.48548
361,2023-03-26,0,dli,1,3.27726
362,2023-03-26,0,dli,2,2.78411
363,2023-03-26,0,dli,3,0.0
364,2023-03-26,0,dli,4,0.0
365,2023-03-26,0,dli,5,0.0
366,2023-03-26,0,dli,6,0.0
367,2023-03-26,0,dli,7,0.0
368,2023-03-26,0,dli,8,0.0
369,2023-03-27,0,dli,0,2.11262
370,2023-03-27,0,dli,1,3.21719
371,2023-03-27,0,dli,2,2.29433
372,2023-03-27,0,dli,3,0.0
373,2023-03-27,0,dli,4,0.0
374,2023-03-27,0,dli,5,0.0
375,2023-03-27,0,dli,6,0.0
376,2023-03-27,0,dli,7,0.0
377,2023-03-27,0,dli,8,0.0
378,2023-03-28,0,dli,0,1.92604
379,2023-03-28,0,dli,1,3.37757
380,2023-03-28,0,dli,2,2.38964
381,2023-03-28,0,dli,3,0.0
382,2023-03-28,0,dli,4,0.0
383,2023-03-28,0,dli,5,0.0
384,2023-03-28,0,dli,6,0.0
385,2023-03-28,0,dli,7,0.0
386,2023-03-28,0,dli,8,0.0
387,2023-03-29,0,dli,0,2.59281
388,2023-03-29,0,dli,1,3.39336
389,2023-03-29,0,dli,2,2.35224
390,2023-03-29,0,dli,3,0.0
391,2023-03-29,0,dli,4,0.0
392,2023-03-29,0,dli,5,0.0
393,2023-03-29,0,dli,6,0.0
394,2023-03-29,0,dli,7,0.0
395,2023-03-29,0,dli,8,0.0
396,2023-03-30,0,dli,0,2.32659
397,2023-03-30,0,dli,1,3.26538
398,2023-03-30,0,dli,2,2.44026
399,2023-03-30,0,dli,3,0.0
400,2023-03-30,0,dli,4,0.0
401,2023-03-30,0,dli,5,0.0
402,2023-03-30,0,dli,6,0.0
403,2023-03-30,0,dli,7,0.0
404,2023-03-30,0,dli,8,0.0
405,2023-03-31,0,dli,0,2.3436
406,2023-03-31,0,dli,1,3.16372
407,2023-03-31,0,dli,2,2.45997
408,2023-03-31,0,dli,3,0.0
409,2023-03-31,0,dli,4,0.0
410,2023-03-31,0,dli,5,0.0
411,2023-03-31,0,dli,6,0.0
412,2023-03-31,0,dli,7,0.0
413,2023-03-31,0,dli,8,0.0
414,2023-04-01,0,dli,0,2.31403
415,2023-04-01,0,dli,1,3.1131
416,2023-04-01,0,dli,2,2.39369
417,2023-04-01,0,dli,3,0.0
418,2023-04-01,0,dli,4,0.0
419,2023-04-01,0,dli,5,0.0
420,2023-04-01,0,dli,6,0.0
421,2023-04-01,0,dli,7,0.0
422,2023-04-01,0,dli,8,0.0
423,2023-04-02,0,dli,0,2.30877
424,2023-04-02,0,dli,1,2.74725
425,2023-04-02,0,dli,2,2.25747
426,2023-04-02,0,dli,3,0.0
427,2023-04-02,0,dli,4,0.0
428,2023-04-02,0,dli,5,0.0
429,2023-04-02,0,dli,6,0.0
430,2023-04-02,0,dli,7,0.0
431,2023-04-02,0,dli,8,0.0
432,2023-04-03,0,dli,0,1.96011
433,2023-04-03,0,dli,1,1.22296
434,2023-04-03,0,dli,2,2.59462
435,2023-04-03,0,dli,3,0.0
436,2023-04-03,0,dli,4,0.0
437,2023-04-03,0,dli,5,0.0
438,2023-04-03,0,dli,6,0.0
439,2023-04-03,0,dli,7,0.0
440,2023-04-03,0,dli,8,0.0
441,2023-04-04,0,dli,0,1.86718
442,2023-04-04,0,dli,1,0.92016
443,2023-04-04,0,dli,2,2.63182
444,2023-04-04,0,dli,3,0.0
445,2023-04-04,0,dli,4,0.0
446,2023-04-04,0,dli,5,0.0
447,2023-04-04,0,dli,6,0.0
448,2023-04-04,0,dli,7,0.0
449,2023-04-04,0,dli,8,0.0
450,2023-04-05,0,dli,0,1.09849
451,2023-04-05,0,dli,1,0.782191
452,2023-04-05,0,dli,2,2.47009
453,2023-04-05,0,dli,3,0.0
454,2023-04-05,0,dli,4,0.0
455,2023-04-05,0,dli,5,0.0
456,2023-04-05,0,dli,6,0.0
457,2023-04-05,0,dli,7,0.0
458,2023-04-05,0,dli,8,0.0
459,2023-04-06,0,dli,0,1.11402
460,2023-04-06,0,dli,1,0.99495
461,2023-04-06,0,dli,2,2.67651
462,2023-04-06,0,dli,3,0.0
463,2023-04-06,0,dli,4,0.0
464,2023-04-06,0,dli,5,0.0
465,2023-04-06,0,dli,6,0.0
466,2023-04-06,0,dli,7,0.0
467,2023-04-06,0,dli,8,0.0
468,2023-04-07,0,dli,0,1.2524
469,2023-04-07,0,dli,1,0.94122
470,2023-04-07,0,dli,2,2.81894
471,2023-04-07,0,dli,3,0.0
472,2023-04-07,0,dli,4,0.0
473,2023-04-07,0,dli,5,0.0
474,2023-04-07,0,dli,6,0.0
475,2023-04-07,0,dli,7,0.0
476,2023-04-07,0,dli,8,0.0
477,2023-04-08,0,dli,0,1.12469
478,2023-04-08,0,dli,1,1.09876
479,2023-04-08,0,dli,2,2.57526
480,2023-04-08,0,dli,3,0.0
481,2023-04-08,0,dli,4,0.0
482,2023-04-08,0,dli,5,0.0
483,2023-04-08,0,dli,6,0.0
484,2023-04-08,0,dli,7,0.0
485,2023-04-08,0,dli,8,0.0
486,2023-04-09,0,dli,0,0.909225
487,2023-04-09,0,dli,1,1.24079
488,2023-04-09,0,dli,2,2.17809
489,2023-04-09,0,dli,3,0.0
490,2023-04-09,0,dli,4,0.0
491,2023-04-09,0,dli,5,0.0
492,2023-04-09,0,dli,6,0.0
493,2023-04-09,0,dli,7,0.0
494,2023-04-09,0,dli,8,0.0
495,2023-04-10,0,dli,0,0.835651
496,2023-04-10,0,dli,1,1.47663
497,2023-04-10,0,dli,2,1.88528
498,2023-04-10,0,dli,3,0.0
499,2023-04-10,0,dli,4,0.0
500,2023-04-10,0,dli,5,0.0
501,2023-04-10,0,dli,6,0.0
502,2023-04-10,0,dli,7,0.0
503,2023-04-10,0,dli,8,0.0
504,2023-04-11,0,dli,0,0.25461
505,2023-04-11,0,dli,1,0.46764
506,2023-04-11,0,dli,2,0.52839
507,2023-04-11,0,dli,3,0.0
508,2023-04-11,0,dli,4,0.0
509,2023-04-11,0,dli,5,0.0
510,2023-04-11,0,dli,6,0.0
511,2023-04-11,0,dli,7,0.0
512,2023-04-11,0,dli,8,0.0
513,2023-04-12,0,dli,0,1.1174
514,2023-04-12,0,dli,1,1.39833
515,2023-04-12,0,dli,2,1.30356
516,2023-04-12,0,dli,3,0.0
517,2023-04-12,0,dli,4,0.0
518,2023-04-12,0,dli,5,0.0
519,2023-04-12,0,dli,6,0.0
520,2023-04-12,0,dli,7,0.0
521,2023-04-12,0,dli,8,0.0
522,2023-04-13,0,dli,0,1.38537
523,2023-04-13,0,dli,1,1.82345
524,2023-04-13,0,dli,2,1.64673
525,2023-04-13,0,dli,3,0.0
526,2023-04-13,0,dli,4,0.0
527,2023-04-13,0,dli,5,0.0
528,2023-04-13,0,dli,6,0.0
529,2023-04-13,0,dli,7,0.0
530,2023-04-13,0,dli,8,0.0
531,2023-04-14,0,dli,0,1.22621
532,2023-04-14,0,dli,1,1.84613
533,2023-04-14,0,dli,2,1.92726
534,2023-04-14,0,dli,3,0.0
535,2023-04-14,0,dli,4,0.0
536,2023-04-14,0,dli,5,0.0
537,2023-04-14,0,dli,6,0.0
538,2023-04-14,0,dli,7,0.0
539,2023-04-14,0,dli,8,0.0
540,2023-04-15,0,dli,0,1.34919
541,2023-04-15,0,dli,1,1.88122
542,2023-04-15,0,dli,2,2.11032
543,2023-04-15,0,dli,3,0.0
544,2023-04-15,0,dli,4,0.0
545,2023-04-15,0,dli,5,0.0
546,2023-04-15,0,dli,6,0.0
547,2023-04-15,0,dli,7,0.0
548,2023-04-15,0,dli,8,0.0
549,2023-04-16,0,dli,0,1.31679
550,2023-04-16,0,dli,1,1.81413
551,2023-04-16,0,dli,2,2.35737
552,2023-04-16,0,dli,3,0.0
553,2023-04-16,0,dli,4,0.0
554,2023-04-16,0,dli,5,0.0
555,2023-04-16,0,dli,6,0.0
556,2023-04-16,0,dli,7,0.0
557,2023-04-16,0,dli,8,0.0
558,2023-04-17,0,dli,0,1.4202
559,2023-04-17,0,dli,1,1.96304
560,2023-04-17,0,dli,2,2.66288
561,2023-04-17,0,dli,3,0.0
562,2023-04-17,0,dli,4,0.0
563,2023-04-17,0,dli,5,0.0
564,2023-04-17,0,dli,6,0.0
565,2023-04-17,0,dli,7,0.0
566,2023-04-17,0,dli,8,0.0
567,2023-04-18,0,dli,0,1.47569
568,2023-04-18,0,dli,1,1.99017
569,2023-04-18,0,dli,2,2.70364
570,2023-04-18,0,dli,3,0.0
571,2023-04-18,0,dli,4,0.0
572,2023-04-18,0,dli,5,0.0
573,2023-04-18,0,dli,6,0.0
574,2023-04-18,0,dli,7,0.0
575,2023-04-18,0,dli,8,0.0
576,2023-04-19,0,dli,0,1.38375
577,2023-04-19,0,dli,1,1.96304
578,2023-04-19,0,dli,2,2.49115
579,2023-04-19,0,dli,3,0.0
580,2023-04-19,0,dli,4,0.0
581,2023-04-19,0,dli,5,0.0
582,2023-04-19,0,dli,6,0.0
583,2023-04-19,0,dli,7,0.0
584,2023-04-19,0,dli,8,0.0
585,2023-04-20,0,dli,0,0.592516
586,2023-04-20,0,dli,1,1.4391
587,2023-04-20,0,dli,2,1.62257
588,2023-04-20,0,dli,3,0.0
589,2023-04-20,0,dli,4,0.0
590,2023-04-20,0,dli,5,0.0
591,2023-04-20,0,dli,6,0.0
592,2023-04-20,0,dli,7,0.0
593,2023-04-20,0,dli,8,0.0
594,2023-04-21,0,dli,0,0.476955
595,2023-04-21,0,dli,1,1.30478
596,2023-04-21,0,dli,2,1.89972
597,2023-04-21,0,dli,3,0.0
598,2023-04-21,0,dli,4,0.0
599,2023-04-21,0,dli,5,0.0
600,2023-04-21,0,dli,6,0.0
601,2023-04-21,0,dli,7,0.0
602,2023-04-21,0,dli,8,0.0
603,2023-04-22,0,dli,0,0.11529
604,2023-04-22,0,dli,1,0.24759
605,2023-04-22,0,dli,2,0.324405
606,2023-04-22,0,dli,3,0.0
607,2023-04-22,0,dli,4,0.0
608,2023-04-22,0,dli,5,0.0
609,2023-04-22,0,dli,6,0.0
610,2023-04-22,0,dli,7,0.0
611,2023-04-22,0,dli,8,0.0
612,2023-05-24,0,dli,0,0.339714
